date,api,art,total_count,failures,p95_rt
2025-10-16,API_001,Payment Initiation,1626,1,567.0
2025-10-17,API_001,Payment Initiation,1595,1,630.9
2025-10-18,API_001,Payment Initiation,1544,1,586.0
2025-10-19,API_001,Payment Initiation,830,0,586.0
2025-10-20,API_001,Payment Initiation,1982,1,616.7
2025-10-21,API_001,Payment Initiation,630,0,660.6
2025-10-22,API_001,Payment Initiation,1832,1,565.1
2025-10-23,API_001,Payment Initiation,776,0,568.5
2025-10-24,API_001,Payment Initiation,1684,1,614.5
2025-10-25,API_001,Payment Initiation,1247,1,485.2
2025-10-26,API_001,Payment Initiation,1356,1,649.0
2025-10-27,API_001,Payment Initiation,1999,1,508.6
2025-10-28,API_001,Payment Initiation,1199,1,557.8
2025-10-29,API_001,Payment Initiation,1186,1,471.6
2025-10-30,API_001,Payment Initiation,1457,1,604.1
2025-10-31,API_001,Payment Initiation,1331,1,514.5
2025-11-01,API_001,Payment Initiation,1654,1,625.0
2025-11-02,API_001,Payment Initiation,1340,1,649.9
2025-11-03,API_001,Payment Initiation,666,0,478.4
2025-11-04,API_001,Payment Initiation,1869,1,667.2
2025-11-05,API_001,Payment Initiation,1064,1,555.1
2025-11-06,API_001,Payment Initiation,1455,1,553.3
2025-11-07,API_001,Payment Initiation,1978,1,667.8
2025-11-08,API_001,Payment Initiation,534,0,622.4
2025-11-09,API_001,Payment Initiation,705,0,528.4
2025-11-10,API_001,Payment Initiation,1911,1,575.5
2025-11-11,API_001,Payment Initiation,1525,1,517.3
2025-11-12,API_001,Payment Initiation,1202,1,578.8
2025-11-13,API_001,Payment Initiation,901,0,613.1
2025-11-14,API_001,Payment Initiation,1315,1,652.9
2025-11-15,API_001,Payment Initiation,1794,1,593.1
2025-10-16,API_002,Payment Management,1219,1,581.9
2025-10-17,API_002,Payment Management,837,0,740.4
2025-10-18,API_002,Payment Management,716,0,664.3
2025-10-19,API_002,Payment Management,1263,1,509.4
2025-10-20,API_002,Payment Management,1680,1,643.3
2025-10-21,API_002,Payment Management,514,0,487.5
2025-10-22,API_002,Payment Management,1147,1,518.0
2025-10-23,API_002,Payment Management,1995,1,655.8
2025-10-24,API_002,Payment Management,878,0,640.7
2025-10-25,API_002,Payment Management,730,0,639.7
2025-10-26,API_002,Payment Management,700,0,614.5
2025-10-27,API_002,Payment Management,1279,1,571.2
2025-10-28,API_002,Payment Management,906,0,588.9
2025-10-29,API_002,Payment Management,1304,1,648.8
2025-10-30,API_002,Payment Management,1460,1,681.4
2025-10-31,API_002,Payment Management,1112,1,544.0
2025-11-01,API_002,Payment Management,897,0,647.1
2025-11-02,API_002,Payment Management,1370,1,591.0
2025-11-03,API_002,Payment Management,1363,1,542.1
2025-11-04,API_002,Payment Management,1242,1,758.0
2025-11-05,API_002,Payment Management,984,0,538.5
2025-11-06,API_002,Payment Management,1930,1,652.4
2025-11-07,API_002,Payment Management,1040,1,737.2
2025-11-08,API_002,Payment Management,1559,1,608.1
2025-11-09,API_002,Payment Management,1766,1,636.5
2025-11-10,API_002,Payment Management,1609,1,617.6
2025-11-11,API_002,Payment Management,1512,1,653.8
2025-11-12,API_002,Payment Management,1145,1,511.1
2025-11-13,API_002,Payment Management,1863,1,586.3
2025-11-14,API_002,Payment Management,1854,1,553.6
2025-11-15,API_002,Payment Management,1996,1,578.4
2025-10-16,API_003,Platform,1754,1,584.5
2025-10-17,API_003,Platform,1806,1,627.7
2025-10-18,API_003,Platform,1132,1,617.8
2025-10-19,API_003,Platform,1882,1,615.7
2025-10-20,API_003,Platform,1209,1,440.7
2025-10-21,API_003,Platform,1748,1,620.7
2025-10-22,API_003,Platform,1757,1,627.2
2025-10-23,API_003,Platform,1897,1,590.0
2025-10-24,API_003,Platform,1995,1,543.4
2025-10-25,API_003,Platform,941,0,684.2
2025-10-26,API_003,Platform,1063,1,649.1
2025-10-27,API_003,Platform,1910,1,536.7
2025-10-28,API_003,Platform,1636,1,573.5
2025-10-29,API_003,Platform,1748,1,595.0
2025-10-30,API_003,Platform,884,0,565.5
2025-10-31,API_003,Platform,1229,1,574.7
2025-11-01,API_003,Platform,1939,1,554.2
2025-11-02,API_003,Platform,1707,1,610.1
2025-11-03,API_003,Platform,622,0,643.7
2025-11-04,API_003,Platform,1383,1,562.9
2025-11-05,API_003,Platform,697,0,673.1
2025-11-06,API_003,Platform,643,0,576.6
2025-11-07,API_003,Platform,1108,1,601.7
2025-11-08,API_003,Platform,963,0,528.2
2025-11-09,API_003,Platform,1872,1,575.0
2025-11-10,API_003,Platform,902,0,651.5
2025-11-11,API_003,Platform,1869,1,507.0
2025-11-12,API_003,Platform,1363,1,604.1
2025-11-13,API_003,Platform,988,0,544.8
2025-11-14,API_003,Platform,837,0,693.0
2025-11-15,API_003,Platform,1371,1,576.7
2025-10-16,API_004,Entitlement,972,0,546.9
2025-10-17,API_004,Entitlement,650,0,712.3
2025-10-18,API_004,Entitlement,762,0,623.8
2025-10-19,API_004,Entitlement,643,0,613.6
2025-10-20,API_004,Entitlement,1380,1,678.4
2025-10-21,API_004,Entitlement,501,0,660.0
2025-10-22,API_004,Entitlement,1514,1,609.1
2025-10-23,API_004,Entitlement,508,0,657.9
